"# COBOL Banker — Evaluation Test Cases for Copilot Studio"
"#"
"# Import into Copilot Studio: Agent > Evaluate > + New evaluation > Import"
"#"
"# Prerequisites"
"# - COBOL Banker installed on target machine (C:\WoodgroveBank\cobol-banker.exe)"
"# - Database reset to seed data before running (Menu 8 > 1 > Y > Y)"
"# - Run read-only tests first, then state-changing tests (freeze, transfer)"
"#"
"# Limitations"
"# - maximum of 100 questions"
"# - maximum 500 characters per question including spaces"
"#"
"# Imported columns"
"# question - User question that the agent will answer."
"# expectedResponse - Expected responses to run match, similarity and compare meaning test cases."
"#"
"# Test methods"
"# - Test methods are not included in this template. You can configure test methods after importing the test cases."
"# - Initially, the default test method will be added to the imported test set."
"#"
"question","expectedResponse"
"Open the banking application.","The application window titled Woodgrove Bank Terminal Emulator is now open and ready."
"Log in to the system.","Logged in as teller1. ACCESS GRANTED - Welcome, J. Smith. Now at Main Menu."
"Log in with username baduser and password wrong.","Login failed. The application showed INVALID CREDENTIALS error."
"Look up customer Jane Doe.","Jane Doe, CUST002, phone 555-0102, address 456 Oak Ave Anytown USA 00002. Two accounts: Checking 1000200001 ($1,893.45) and Savings 1000200002 ($45,200.00)."
"Find the customer with phone number 555-0103.","Robert Jones, CUST003, phone 555-0103, address 789 Pine Rd Springfield USA 00003. Three accounts: Checking, Savings, and Money Market."
"Look up a customer named Mickey Mouse.","No matching customer was found for Mickey Mouse."
"What's the balance on account 1000100001?","Account 1000100001 is a Checking account owned by John Smith. Balance: $4,523.67. Status: Active."
"Look up account 1000700002.","Account 1000700002 is a Savings account owned by Michael Miller. Status: Closed. Note: Account closed per customer request. Remaining balance transferred to checking."
"Transfer $2,000 from John Smith's savings (1000100002) to his checking (1000100001).","Transfer completed successfully. Savings 1000100002 new balance: $10,750.00. Checking 1000100001 new balance: $6,523.67."
"Transfer $999,999 from account 1000800001 to 1000800002.","Transfer failed. Insufficient funds. Account 1000800001 current balance is $920.15."
"Freeze Jane Doe's savings account 1000200002.","Account 1000200002 status changed to Frozen."
"Unfreeze account 1000200002 and set it back to Active.","Account 1000200002 status changed to Active."
"Update Robert Jones (CUST003) — new phone 555-0199, new address 500 Lakeview Blvd, Riverside, USA 00010.","Customer contact info updated for Robert Jones. New phone: 555-0199. New address: 500 Lakeview Blvd, Riverside, USA 00010."
"Add a note to account 1000200002: Flagged for compliance review per fraud alert.","Note added to account 1000200002: Flagged for compliance review per fraud alert."
"Check the transaction history for account 1000200002 and tell me if anything looks suspicious.","Multiple wire transfers from UNKNOWN ORIGIN just under $10,000 each, plus one from an offshore account. This is a suspicious structuring pattern. Recommend freezing the account and opening an investigation."
"Show me the transaction history for John Smith's checking account 1000100001.","Transaction history for account 1000100001 shows normal activity including deposits, withdrawals, and transfers. No suspicious patterns detected."
"We've received a fraud alert for Jane Doe. Look up her account, check her savings transactions for suspicious activity, freeze the savings account, and add a note saying Account frozen per fraud alert.","Looked up Jane Doe (CUST002). Reviewed savings account 1000200002 transactions — found suspicious wire transfers from unknown origins just under $10,000. Froze the savings account. Added note: Account frozen per fraud alert. All four actions completed."
"Robert Jones (CUST003) has moved to 500 Lakeview Blvd, Riverside, USA 00010 and his new phone is 555-0199. Update his records, then verify the change by looking him up again.","Updated Robert Jones contact info. Verified by looking him up again — new phone 555-0199 and new address 500 Lakeview Blvd, Riverside, USA 00010 are confirmed."
"Check the balance on account 1000100001.","Account 1000100001 is a Checking account owned by John Smith. Balance: $4,523.67. Status: Active."
"I changed my mind — go back to the main menu.","Returned to the Main Menu."
"Look up account 9999999999.","Account not found. No account exists with number 9999999999."
"Reset the database to start fresh.","Database has been reset. All customers, accounts, and transactions restored to original seed data."
"What's the balance on Jane Doe's checking account?","Jane Doe's checking account 1000200001 has a balance of $1,893.45."
"Can you open a new account for a customer named Tim?","The application does not support creating new accounts. Available functions include: Customer Lookup, Account Inquiry, Fund Transfer, Account Maintenance (status changes, contact updates, notes), Transaction History, and System Administration."
